金阁寺,作者:(日)三岛由纪夫
谱学基础与结构分析,作者:浙江大学陆维敏，陈芳  编
现代生物学,作者:胡玉佳　主编；廖家遗　等　编写
图学基础教程,作者:谭建荣　等
化工原理,作者:何潮洪
古文观止,作者:(清)吴楚材，吴调候 选
仪器分析(化学类)/21世纪高等院校教材,作者:方惠群，于俊生　史坚　编著
中國史學基本典籍叢刊: 國語集解 (修訂本),作者:徐元誥/ 撰; 王樹民/ 沈長雲/ 點校
王朔谐趣小说选,作者:王朔
学习的革命,作者:（美国）沃斯、（新西兰）德莱顿著 顾瑞荣等译
热工基础与应用,作者:傅秦生 傅秦生 编
朱自清散文,作者:梁仁
动物农场,作者:（英）乔治·奥威尔 著，傅惟慈 译
基础化学实验,作者:徐伟亮　主编
普通生物学,作者:陈阅增
铁血平西(上下),作者:张昊
人性的弱点全集,作者:[美] 戴尔·卡耐基
比神更快乐,作者:（美）沃尔什　著，谢明宪　译
化工原理（第三版）,作者:王志魁 编
生物化学（上册）,作者:王镜岩　等主编
茅盾散文,作者:傅光明
鲁迅杂文,作者:鲁迅 著，来凤仪 选编
